,id,image,likes,publishedAt,title,views
21,pf4Pd5Jb-h8,https://i.ytimg.com/vi/pf4Pd5Jb-h8/sddefault.jpg,63551,2023-01-16T10:03:20Z,【借金替え歌】トウキョウ・シャンディ・ランデヴ【粗品】,1337624
53,UCfXNT7LOMg,https://i.ytimg.com/vi/UCfXNT7LOMg/sddefault.jpg,16099,2022-12-14T14:42:37Z,粗品髪切った,821133
55,ha5fTWP6TCc,https://i.ytimg.com/vi/ha5fTWP6TCc/sddefault.jpg,42377,2022-12-12T10:00:30Z,【借金替え歌】神っぽいな【粗品】,984053
85,cI9owdiN1RQ,https://i.ytimg.com/vi/cI9owdiN1RQ/sddefault.jpg,16434,2022-11-15T10:00:19Z,粗品「フリップネタ１」／単独公演『電池の切れかけた蟹』より(2022.10.26),886773
109,E4-4vUk34YM,https://i.ytimg.com/vi/E4-4vUk34YM/sddefault.jpg,30192,2022-10-22T10:00:14Z,生涯収支マイナス２億円君の菊花賞予想,1219873
110,tEaIvvHntis,https://i.ytimg.com/vi/tEaIvvHntis/sddefault.jpg,20234,2022-10-21T10:00:47Z,無期限活動休止のご報告,1080160
127,HHu36FzGAW0,https://i.ytimg.com/vi/HHu36FzGAW0/sddefault.jpg,31280,2022-10-05T10:00:16Z,第１回粗品のツッコミ引き出せ選手権(インスタのDMで粗品からボイメが返ってくるよ),1241461
195,PBTRmLGDseM,https://i.ytimg.com/vi/PBTRmLGDseM/sddefault.jpg,34255,2022-08-01T10:00:27Z,4630万円俺ちゃうで,1135432
227,nGYU7FMeAZE,https://i.ytimg.com/vi/nGYU7FMeAZE/sddefault.jpg,21763,2022-07-01T10:00:37Z,第４回お前の事誰が好きなん？選手権,898067
229,p2S2_suyWxM,https://i.ytimg.com/vi/p2S2_suyWxM/sddefault.jpg,35701,2022-06-29T10:00:26Z,お前の事誰が好きなん？TikTok #shorts,1397548
232,VTEICPhMpQc,https://i.ytimg.com/vi/VTEICPhMpQc/sddefault.jpg,13391,2022-06-26T08:49:37Z,本日の宝塚記念について,741685
252,5StVQM1bH_E,https://i.ytimg.com/vi/5StVQM1bH_E/sddefault.jpg,23908,2022-06-06T10:00:03Z,昨日の安田記念100円馬券事件について【競馬警察】,1209715
253,sglqWSskGyA,https://i.ytimg.com/vi/sglqWSskGyA/sddefault.jpg,43938,2022-06-05T09:20:27Z,本日の安田記念について,1657658
255,5hy8iSeWLz0,https://i.ytimg.com/vi/5hy8iSeWLz0/sddefault.jpg,18255,2022-06-03T10:00:04Z,億賭けたいっせーのーせで負ける男,872058
258,D3aP8YruHWs,https://i.ytimg.com/vi/D3aP8YruHWs/sddefault.jpg,18197,2022-05-31T10:00:09Z,第３回お前の事誰が好きなん？選手権,848520
260,fiS4JGDG8S4,https://i.ytimg.com/vi/fiS4JGDG8S4/sddefault.jpg,29249,2022-05-29T08:47:06Z,本日の日本ダービーについて,1339774
274,zz3fLIKgfvM,https://i.ytimg.com/vi/zz3fLIKgfvM/sddefault.jpg,17180,2022-05-15T07:39:26Z,本日のヴィクトリアマイルについて,830952
286,KEmRMToVfPE,https://i.ytimg.com/vi/KEmRMToVfPE/sddefault.jpg,21778,2022-05-04T10:00:16Z,第２回お前の事誰が好きなん？選手権,957302
289,Y4-9lfnfYeg,https://i.ytimg.com/vi/Y4-9lfnfYeg/sddefault.jpg,16398,2022-05-01T09:02:01Z,本日の天皇賞・春について,809106
312,ouLiCJhl874,https://i.ytimg.com/vi/ouLiCJhl874/sddefault.jpg,27169,2022-04-08T10:00:28Z,使ってはいけない金でギャンブル負けた時に脳内で流れる曲,1154596
316,ldpGIqDIqgw,https://i.ytimg.com/vi/ldpGIqDIqgw/sddefault.jpg,23883,2022-04-05T10:00:18Z,激ヤバYouTuber,786703
318,gteZfeRzwbI,https://i.ytimg.com/vi/gteZfeRzwbI/sddefault.jpg,22108,2022-04-03T08:06:13Z,本日の大阪杯について,945830
340,vhOBOSLphAM,https://i.ytimg.com/vi/vhOBOSLphAM/sddefault.jpg,23196,2022-03-18T10:00:30Z,お前の事誰が好きなん？選手権,1081637
345,2D4JfMeKuVk,https://i.ytimg.com/vi/2D4JfMeKuVk/sddefault.jpg,21068,2022-03-13T09:00:15Z,本日の金鯱賞について,879018
377,Db4b7GbWBH4,https://i.ytimg.com/vi/Db4b7GbWBH4/sddefault.jpg,35491,2022-02-09T10:00:05Z,おもんない人のモノマネ,1488950
378,rjPFMbrFUVA,https://i.ytimg.com/vi/rjPFMbrFUVA/sddefault.jpg,23685,2022-02-08T10:00:18Z,那須川天心が俺の事なめとる,1084779
385,0H9rLygAChM,https://i.ytimg.com/vi/0H9rLygAChM/sddefault.jpg,18569,2022-02-01T10:00:00Z,ラミエル,738517
387,DMmOfa6mdK0,https://i.ytimg.com/vi/DMmOfa6mdK0/sddefault.jpg,56448,2022-01-30T10:00:06Z,借金あり過ぎて友達に奢られ慣れてる人間の「ありがとうございます」,3220053
