,id,image,likes,publishedAt,title,views
21,pf4Pd5Jb-h8,https://i.ytimg.com/vi/pf4Pd5Jb-h8/sddefault.jpg,63693,2023-01-16T10:03:20Z,【借金替え歌】トウキョウ・シャンディ・ランデヴ【粗品】,1343642
53,UCfXNT7LOMg,https://i.ytimg.com/vi/UCfXNT7LOMg/sddefault.jpg,16099,2022-12-14T14:42:37Z,粗品髪切った,821227
55,ha5fTWP6TCc,https://i.ytimg.com/vi/ha5fTWP6TCc/sddefault.jpg,42400,2022-12-12T10:00:30Z,【借金替え歌】神っぽいな【粗品】,985828
85,cI9owdiN1RQ,https://i.ytimg.com/vi/cI9owdiN1RQ/sddefault.jpg,16452,2022-11-15T10:00:19Z,粗品「フリップネタ１」／単独公演『電池の切れかけた蟹』より(2022.10.26),889222
109,E4-4vUk34YM,https://i.ytimg.com/vi/E4-4vUk34YM/sddefault.jpg,30192,2022-10-22T10:00:14Z,生涯収支マイナス２億円君の菊花賞予想,1219946
110,tEaIvvHntis,https://i.ytimg.com/vi/tEaIvvHntis/sddefault.jpg,20234,2022-10-21T10:00:47Z,無期限活動休止のご報告,1080214
127,HHu36FzGAW0,https://i.ytimg.com/vi/HHu36FzGAW0/sddefault.jpg,31309,2022-10-05T10:00:16Z,第１回粗品のツッコミ引き出せ選手権(インスタのDMで粗品からボイメが返ってくるよ),1243032
195,PBTRmLGDseM,https://i.ytimg.com/vi/PBTRmLGDseM/sddefault.jpg,34255,2022-08-01T10:00:27Z,4630万円俺ちゃうで,1135556
227,nGYU7FMeAZE,https://i.ytimg.com/vi/nGYU7FMeAZE/sddefault.jpg,21768,2022-07-01T10:00:37Z,第４回お前の事誰が好きなん？選手権,898476
229,p2S2_suyWxM,https://i.ytimg.com/vi/p2S2_suyWxM/sddefault.jpg,35729,2022-06-29T10:00:26Z,お前の事誰が好きなん？TikTok #shorts,1399353
232,VTEICPhMpQc,https://i.ytimg.com/vi/VTEICPhMpQc/sddefault.jpg,13391,2022-06-26T08:49:37Z,本日の宝塚記念について,741704
252,5StVQM1bH_E,https://i.ytimg.com/vi/5StVQM1bH_E/sddefault.jpg,23909,2022-06-06T10:00:03Z,昨日の安田記念100円馬券事件について【競馬警察】,1209764
253,sglqWSskGyA,https://i.ytimg.com/vi/sglqWSskGyA/sddefault.jpg,43937,2022-06-05T09:20:27Z,本日の安田記念について,1657760
255,5hy8iSeWLz0,https://i.ytimg.com/vi/5hy8iSeWLz0/sddefault.jpg,18255,2022-06-03T10:00:04Z,億賭けたいっせーのーせで負ける男,872074
258,D3aP8YruHWs,https://i.ytimg.com/vi/D3aP8YruHWs/sddefault.jpg,18200,2022-05-31T10:00:09Z,第３回お前の事誰が好きなん？選手権,848808
260,fiS4JGDG8S4,https://i.ytimg.com/vi/fiS4JGDG8S4/sddefault.jpg,29248,2022-05-29T08:47:06Z,本日の日本ダービーについて,1339871
274,zz3fLIKgfvM,https://i.ytimg.com/vi/zz3fLIKgfvM/sddefault.jpg,17181,2022-05-15T07:39:26Z,本日のヴィクトリアマイルについて,830994
286,KEmRMToVfPE,https://i.ytimg.com/vi/KEmRMToVfPE/sddefault.jpg,21777,2022-05-04T10:00:16Z,第２回お前の事誰が好きなん？選手権,957598
289,Y4-9lfnfYeg,https://i.ytimg.com/vi/Y4-9lfnfYeg/sddefault.jpg,16398,2022-05-01T09:02:01Z,本日の天皇賞・春について,809120
312,ouLiCJhl874,https://i.ytimg.com/vi/ouLiCJhl874/sddefault.jpg,27172,2022-04-08T10:00:28Z,使ってはいけない金でギャンブル負けた時に脳内で流れる曲,1154666
316,ldpGIqDIqgw,https://i.ytimg.com/vi/ldpGIqDIqgw/sddefault.jpg,23887,2022-04-05T10:00:18Z,激ヤバYouTuber,786739
318,gteZfeRzwbI,https://i.ytimg.com/vi/gteZfeRzwbI/sddefault.jpg,22109,2022-04-03T08:06:13Z,本日の大阪杯について,945890
340,vhOBOSLphAM,https://i.ytimg.com/vi/vhOBOSLphAM/sddefault.jpg,23199,2022-03-18T10:00:30Z,お前の事誰が好きなん？選手権,1082165
345,2D4JfMeKuVk,https://i.ytimg.com/vi/2D4JfMeKuVk/sddefault.jpg,21068,2022-03-13T09:00:15Z,本日の金鯱賞について,879041
377,Db4b7GbWBH4,https://i.ytimg.com/vi/Db4b7GbWBH4/sddefault.jpg,35493,2022-02-09T10:00:05Z,おもんない人のモノマネ,1489035
378,rjPFMbrFUVA,https://i.ytimg.com/vi/rjPFMbrFUVA/sddefault.jpg,23718,2022-02-08T10:00:18Z,那須川天心が俺の事なめとる,1085886
385,0H9rLygAChM,https://i.ytimg.com/vi/0H9rLygAChM/sddefault.jpg,18569,2022-02-01T10:00:00Z,ラミエル,738568
387,DMmOfa6mdK0,https://i.ytimg.com/vi/DMmOfa6mdK0/sddefault.jpg,56449,2022-01-30T10:00:06Z,借金あり過ぎて友達に奢られ慣れてる人間の「ありがとうございます」,3220218
391,UEIEMSooxpE,https://i.ytimg.com/vi/UEIEMSooxpE/sddefault.jpg,37761,2022-01-28T10:30:07Z,超パチンコ依存症チェック,2152075
397,k6m7yPxUfzg,https://i.ytimg.com/vi/k6m7yPxUfzg/sddefault.jpg,26866,2022-01-25T10:00:31Z,どんな顔にでもツッコミを入れる男,830757
398,qF6OIMqAYug,https://i.ytimg.com/vi/qF6OIMqAYug/sddefault.jpg,21335,2022-01-24T10:00:32Z,安いスパチャには冷たい粗品【粗品切り抜き】 #shorts,899203
423,CJds6omZZpw,https://i.ytimg.com/vi/CJds6omZZpw/sddefault.jpg,23370,2022-01-07T10:14:39Z,誕生日に来たキモいコメントに反論,1188037
433,f6CjQ0jRiSM,https://i.ytimg.com/vi/f6CjQ0jRiSM/sddefault.jpg,21897,2021-12-31T03:00:30Z,細客の悩みには辛辣な粗品【粗品切り抜き】 #shorts,1052476
441,PtpIz_u3i6E,https://i.ytimg.com/vi/PtpIz_u3i6E/sddefault.jpg,51264,2021-12-27T03:00:16Z,粗品がスパチャで稼いだお金の使い道【粗品切り抜き】 #shorts,1999077
442,fJLnpGEi2lk,https://i.ytimg.com/vi/fJLnpGEi2lk/sddefault.jpg,48291,2021-12-26T07:19:29Z,本日の有馬記念について,1923048
443,hwA8JvCSn90,https://i.ytimg.com/vi/hwA8JvCSn90/sddefault.jpg,16799,2021-12-26T03:00:15Z,面接に落ちた細客に厳しい事を言う粗品【粗品切り抜き】 #shorts,834146
447,-_gPSsGRd0o,https://i.ytimg.com/vi/-_gPSsGRd0o/sddefault.jpg,23438,2021-12-24T02:56:29Z,細客に算数を教える粗品【粗品切り抜き】 #shorts,1211208
453,KRSQ0Tmcv3U,https://i.ytimg.com/vi/KRSQ0Tmcv3U/sddefault.jpg,18909,2021-12-20T11:18:42Z,粗品の彼女との惚気エピソード【粗品切り抜き】,1081647
462,wN-EUo4VBOg,https://i.ytimg.com/vi/wN-EUo4VBOg/sddefault.jpg,13237,2021-12-15T10:00:25Z,昨日の動画に来たカスのコメントに反論,760125
465,ITjUCSW_xTU,https://i.ytimg.com/vi/ITjUCSW_xTU/sddefault.jpg,49318,2021-12-14T03:00:05Z,【パチンコあるある】ハンドルの加減が分からず通常時に一瞬右打ちしてしまった時 #shorts,2526985
469,yi5JTb9SgHg,https://i.ytimg.com/vi/yi5JTb9SgHg/sddefault.jpg,49626,2021-12-09T10:00:16Z,TikTokで1200万回再生された粗品が跳ねるだけの動画 #shorts,2142342
475,c_OjYA3A-Ag,https://i.ytimg.com/vi/c_OjYA3A-Ag/sddefault.jpg,16411,2021-12-06T10:00:10Z,昨日の動画に来たカスのコメントに反論,916918
487,ga3vCFqXbTE,https://i.ytimg.com/vi/ga3vCFqXbTE/sddefault.jpg,16325,2021-11-30T10:00:15Z,昨日の動画に来たカスのコメントに反論,830907
490,nYNOU--S1yE,https://i.ytimg.com/vi/nYNOU--S1yE/sddefault.jpg,16415,2021-11-29T03:00:29Z,視聴者センスあり過ぎ【粗品切り抜き】,803811
492,fECxzFw8mNw,https://i.ytimg.com/vi/fECxzFw8mNw/sddefault.jpg,14805,2021-11-28T08:11:34Z,本日のジャパンCについて,818626
495,yI52SrrX2_I,https://i.ytimg.com/vi/yI52SrrX2_I/sddefault.jpg,26739,2021-11-26T10:00:27Z,シルバニアファミリーのみつごちゃんベビーカーを買いました,747769
499,qunGlBm9YLc,https://i.ytimg.com/vi/qunGlBm9YLc/sddefault.jpg,17053,2021-11-24T10:00:31Z,福島平場オッズ破壊事件を語る,943362
503,ppqGdOEDOQc,https://i.ytimg.com/vi/ppqGdOEDOQc/sddefault.jpg,37018,2021-11-22T10:00:21Z,こいつ金貸して欲しいんやろなあ,1855986
505,6P7akHQm0tU,https://i.ytimg.com/vi/6P7akHQm0tU/sddefault.jpg,18938,2021-11-21T08:10:21Z,本日のマイルCSについて,784550
